countryLabel,genderLabel,tot
Germany,male,2242
Czech Republic,male,785
France,male,624
Germany,female,561
Italy,male,531
Czech Republic,female,422
Poland,male,369
United States of America,male,336
Austria,male,300
United Kingdom,male,278
Russia,male,215
Spain,male,200
Ukraine,male,178
Switzerland,male,176
Hungary,male,172
United States of America,female,171
Netherlands,male,160
Italy,female,123
Spain,female,122
Belgium,male,113
Japan,male,110
Austria,female,106
Poland,female,99
France,female,99
Russia,female,96
Sweden,male,92
Romania,male,75
Ukraine,female,74
Slovenia,male,64
Hungary,female,61
United Kingdom,female,60
Denmark,male,54
Slovakia,male,51
Norway,male,47
Netherlands,female,45
Greece,male,42
Switzerland,female,40
Croatia,male,37
Belarus,male,34
Kingdom of the Netherlands,male,32
Slovenia,female,32
Estonia,male,28
Slovakia,female,27
Bulgaria,male,27
Canada,male,27
Sweden,female,26
Turkey,male,23
Finland,male,23
Belarus,female,22
Estonia,female,22
Romania,female,19
Azerbaijan,male,19
Denmark,female,19
Latvia,male,19
Armenia,male,18
India,male,18
Canada,female,18
Norway,female,17
Japan,female,17
People's Republic of China,male,16
Bulgaria,female,16
Greece,female,16
Lithuania,male,14
Belgium,female,13
Mexico,female,12
Serbia,male,12
Georgia,male,12
Argentina,male,11
Turkey,female,10
Mexico,male,10
Brazil,male,10
Australia,male,10
Australia,female,10
Lebanon,male,9
Ireland,male,9
Israel,male,9
Portugal,male,9
India,female,9
Armenia,female,9
Kingdom of the Netherlands,female,8
Algeria,male,7
Georgia,female,7
Nigeria,male,6
Azerbaijan,female,6
Lithuania,female,6
Finland,female,6
Argentina,female,6
Croatia,female,6
Egypt,male,5
Brazil,female,5
Indonesia,male,5
Bosnia and Herzegovina,male,5
Israel,female,5
Serbia,female,5
Cuba,male,5
Luxembourg,female,5
Syria,male,5
Tunisia,male,4
Chile,male,4
Iran,male,4
Tunisia,female,4
New Zealand,male,4
Algeria,female,4
Venezuela,male,4
Chile,female,4
Portugal,female,3
Ireland,female,3
North Macedonia,male,3
Peru,female,3
Bosnia and Herzegovina,female,3
Indonesia,female,3
Egypt,female,3
People's Republic of China,female,3
Morocco,male,3
Pakistan,male,3
Iran,female,3
Bolivia,male,2
Moldova,male,2
Cyprus,male,2
South Africa,male,2
Albania,male,2
Cambodia,male,2
Colombia,female,2
Ecuador,female,2
South Africa,female,2
Latvia,female,2
Kazakhstan,female,2
Iraq,male,2
Luxembourg,male,2
Tajikistan,male,2
Uzbekistan,male,2
New Zealand,female,2
State of Palestine,female,1
United States of America,non-binary,1
Malta,male,1
Sri Lanka,male,1
Thailand,male,1
Jamaica,male,1
State of Palestine,male,1
Taiwan,male,1
Kyrgyzstan,male,1
Paraguay,male,1
Haiti,female,1
Venezuela,female,1
Jersey,male,1
Senegal,male,1
Costa Rica,male,1
Faroe Islands,female,1
Monaco,male,1
Lebanon,female,1
Uruguay,female,1
South Korea,male,1
Uzbekistan,female,1
Bolivia,female,1
Republic of the Congo,male,1
Moldova,female,1
United Arab Emirates,female,1
Nepal,male,1
Taiwan,female,1
Puerto Rico,female,1
Cambodia,female,1
Kazakhstan,male,1
Bangladesh,male,1
Malaysia,male,1
Ethiopia,male,1
Singapore,male,1
Iraq,female,1
Afghanistan,male,1
Trinidad and Tobago,male,1
Cuba,female,1
Haiti,male,1
Morocco,female,1
Grenada,female,1
North Macedonia,female,1
Paraguay,female,1
South Korea,female,1
Nigeria,female,1
Montenegro,female,1
Uruguay,male,1
