woman,womanLabel,citizenships
http://www.wikidata.org/entity/Q15794,Tomaž Šalamun,Slovenia/Repubblica Socialista Federale di Jugoslavia/Stato Indipendente di Croazia
http://www.wikidata.org/entity/Q57106,Heinrich Schliemann,Stati Uniti d'America/Impero russo/Impero tedesco
http://www.wikidata.org/entity/Q62933,Ernst Herzfeld,Stati Uniti d'America/Repubblica di Weimar/Impero tedesco
http://www.wikidata.org/entity/Q65690,Albert Grünwedel,Germania nazista/Repubblica di Weimar/Regno di Baviera
http://www.wikidata.org/entity/Q68216,Werner Wolf Glaser,Svezia/Danimarca/Germania
http://www.wikidata.org/entity/Q1335335,Władysław Tatarkiewicz,Germania nazista/Impero russo/Seconda Repubblica di Polonia/Repubblica Popolare di Polonia
http://www.wikidata.org/entity/Q1346019,Michail Alpatov,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q1361286,Stanisław Kostka Potocki,Regno di Prussia/Impero russo/Confederazione polacco-lituana
http://www.wikidata.org/entity/Q313061,Aurel Stein,Regno Unito/Regno d'Ungheria/Regno Unito di Gran Bretagna e Irlanda
http://www.wikidata.org/entity/Q1684288,Li Ji,Taiwan/dinastia Qing/Repubblica di Cina
http://www.wikidata.org/entity/Q1697769,Johannes Jahn,Germania/Germania Est/Regno di Prussia
http://www.wikidata.org/entity/Q464614,Roman Vishniac,Stati Uniti d'America/Lettonia/Impero russo
http://www.wikidata.org/entity/Q1729833,Karl-Heinz Clasen,Germania/Germania Est/Reich tedesco
http://www.wikidata.org/entity/Q6695785,Luc Menaše,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q6727554,Madhusudan Amilal Dhaky,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q5616240,Ormonde Dalton,Galles/Regno Unito/Regno Unito di Gran Bretagna e Irlanda
http://www.wikidata.org/entity/Q5800381,Eberhard Hempel,Germania/Germania Est/Regno di Sassonia
http://www.wikidata.org/entity/Q481605,Boris Piotrovsky,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q519129,Eugénie Strong,Francia/Regno Unito/Regno Unito di Gran Bretagna e Irlanda
http://www.wikidata.org/entity/Q531199,Erich Klossowski,Polonia/Francia/Germania
http://www.wikidata.org/entity/Q3271695,Leonid Aleksandrovič Uspenskij,Francia/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q6850935,Mildred Archer,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q7167266,Percy Brown,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q7238291,Pran Nevile,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q7273879,R. Nagaswamy,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q7289436,Ramesh Prasad Mohapatra,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q7295458,Ratan Parimoo,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q1827938,Liselotte Honigmann-Zinserling,Germania/Germania Est/Reich tedesco
http://www.wikidata.org/entity/Q586987,Antoine Seilern,Austria/Regno Unito/Regno Unito di Gran Bretagna e Irlanda
http://www.wikidata.org/entity/Q612440,Pietro Maria Bardi,Italia/Brasile/Regno d'Italia
http://www.wikidata.org/entity/Q621113,Aleksey Okladnikov,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q7653847,Swaraj Prakash Gupta,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q715837,Huang Binhong,Cina/dinastia Qing/Repubblica di Cina
http://www.wikidata.org/entity/Q3632740,Kapila Vatsyayan,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q9176125,Bohdan Janusz,Impero austro-ungarico/Seconda Repubblica di Polonia/Repubblica Nazionale dell'Ucraina Occidentale
http://www.wikidata.org/entity/Q821664,Daniel Schlumberger,Francia/Germania nazista/Quarta Repubblica francese/Terza Repubblica francese
http://www.wikidata.org/entity/Q898175,Vladimir Favorskij,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q9262053,France Stele,Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q10341366,Ordhendra Gangoly,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q2388812,Jacques Hnizdovsky,Stati Uniti d'America/Polonia/Impero austro-ungarico
http://www.wikidata.org/entity/Q3919151,Józef Jodkowski,Impero russo/Seconda Repubblica di Polonia/Repubblica Popolare di Polonia
http://www.wikidata.org/entity/Q4058909,Dmitrij Vlasʹevič Ajnalov,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4069456,David Arkin,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q1030307,Igor' Ėmmanuilovič Grabar',Unione Sovietica/Impero austro-ungarico/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4104489,Alexandre Vassiliev,Francia/Russia/Unione Sovietica
http://www.wikidata.org/entity/Q4114922,Borys Voznytskyi,Ucraina/Unione Sovietica/Seconda Repubblica di Polonia
http://www.wikidata.org/entity/Q4151770,Matvey Gukovsky,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4152580,Nina Gurianova,Stati Uniti d'America/Russia/Unione Sovietica
http://www.wikidata.org/entity/Q4219598,Latif Karimov,Azerbaigian/Unione Sovietica/Impero russo/Repubblica Democratica di Azerbaigian
http://www.wikidata.org/entity/Q2444368,Jyotindra Jain,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q2530566,Vojeslav Molè,Polonia/Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q4223091,Ekaterina Robertovna Klasson,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4244775,Zenon Kuzela,Germania/Germania nazista/Impero austro-ungarico/Repubblica di Weimar
http://www.wikidata.org/entity/Q4297717,Boris Mikhaylovsky,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4344656,Vladimir Papernyĭ,Stati Uniti d'America/Russia/Unione Sovietica
http://www.wikidata.org/entity/Q4367947,Olga Podobedova,Russia/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q4383262,Galina Pugachenkova,Uzbekistan/Unione Sovietica/Impero russo/Russia sovietica
