woman,womanLabel
http://www.wikidata.org/entity/Q66462,Gertrud Bing
http://www.wikidata.org/entity/Q88151,Martina Pippal
http://www.wikidata.org/entity/Q103766,Christine Strube
http://www.wikidata.org/entity/Q108405,Jeanette Zwingenberger
http://www.wikidata.org/entity/Q109944,Florentine Mütherich
http://www.wikidata.org/entity/Q112518,Eva Frodl-Kraft
http://www.wikidata.org/entity/Q116536,Regula Tschumi
http://www.wikidata.org/entity/Q92379,Renate Riemeck
http://www.wikidata.org/entity/Q96140,Caroline von Humboldt
http://www.wikidata.org/entity/Q97288,Mercedes Bunz
http://www.wikidata.org/entity/Q97309,Marie Luise Gothein
http://www.wikidata.org/entity/Q97436,Margarete Bieber
http://www.wikidata.org/entity/Q98089,Barbara Schock-Werner
http://www.wikidata.org/entity/Q98215,Rosa Schapire
http://www.wikidata.org/entity/Q98225,Katja Aßmann
http://www.wikidata.org/entity/Q99497,Johanna von Herzogenberg
http://www.wikidata.org/entity/Q101216,Annemarie Podlipny-Hehn
http://www.wikidata.org/entity/Q122123,Sibyl Moholy-Nagy
http://www.wikidata.org/entity/Q123131,Edith Alice Müller
http://www.wikidata.org/entity/Q137115,Lucy Lippard
http://www.wikidata.org/entity/Q197084,Q197084
http://www.wikidata.org/entity/Q214897,Rachel Wischnitzer
http://www.wikidata.org/entity/Q1103092,Q1103092
http://www.wikidata.org/entity/Q1106786,Q1106786
http://www.wikidata.org/entity/Q1107585,Q1107585
http://www.wikidata.org/entity/Q1119927,Q1119927
http://www.wikidata.org/entity/Q1125498,Q1125498
http://www.wikidata.org/entity/Q1127502,Q1127502
http://www.wikidata.org/entity/Q1128132,Constanze Wilken
http://www.wikidata.org/entity/Q1133455,Cornelia Weber-Lehmann
http://www.wikidata.org/entity/Q1157278,Dagmar Grassinger
http://www.wikidata.org/entity/Q1163355,Daniela Danz
http://www.wikidata.org/entity/Q1163404,Daniela Hammer-Tugendhat
http://www.wikidata.org/entity/Q1165239,Q1165239
http://www.wikidata.org/entity/Q1169769,Margret Heinemann
http://www.wikidata.org/entity/Q1178783,Q1178783
http://www.wikidata.org/entity/Q1208791,Diana Buitron-Oliver
http://www.wikidata.org/entity/Q1208900,Diana Widmaier Picasso
http://www.wikidata.org/entity/Q1214509,Q1214509
http://www.wikidata.org/entity/Q1221367,Q1221367
http://www.wikidata.org/entity/Q1230204,Frauke von der Haar
http://www.wikidata.org/entity/Q1230611,Q1230611
http://www.wikidata.org/entity/Q1233525,Q1233525
http://www.wikidata.org/entity/Q1234636,Waltraud Neuwirth
http://www.wikidata.org/entity/Q1240656,Q1240656
http://www.wikidata.org/entity/Q1243736,Janneke de Vries
http://www.wikidata.org/entity/Q1245335,Q1245335
http://www.wikidata.org/entity/Q1246304,Dorothea van der Koelen
http://www.wikidata.org/entity/Q1246317,Dorothea von Hantelmann
http://www.wikidata.org/entity/Q1246748,Sabrina van der Ley
http://www.wikidata.org/entity/Q1250205,Dorothee Hansen
http://www.wikidata.org/entity/Q1253183,Q1253183
http://www.wikidata.org/entity/Q1253969,Katalin S. Nagy
http://www.wikidata.org/entity/Q1255011,Salacz Magda
http://www.wikidata.org/entity/Q1592077,Uta Hassler
http://www.wikidata.org/entity/Q1592391,Sophie Lissitzky-Küppers
http://www.wikidata.org/entity/Q1594436,Heidrun Stein-Kecks
http://www.wikidata.org/entity/Q1597331,Ines Jucker
http://www.wikidata.org/entity/Q1602185,Helga Herdejürgen
http://www.wikidata.org/entity/Q1602213,Helga Kreuter-Eggemann
http://www.wikidata.org/entity/Q1602269,Helga Reusch
http://www.wikidata.org/entity/Q1613588,Hermine Cloeter
http://www.wikidata.org/entity/Q1618180,Hilda Lietzmann
http://www.wikidata.org/entity/Q1618420,Hildegund Amanshauser
http://www.wikidata.org/entity/Q1618923,Hiltigund Schreiber
