institutionLabel,countryLabel,totwomen
Istituto archeologico germanico,Germania,48
American Academy of Arts and Sciences,Stati Uniti d'America,18
Academia Europæa,Regno Unito,13
"Accademia Reale svedese di lettere, storia e antichità",Svezia,12
Medieval Academy of America,Stati Uniti d'America,10
British Academy,Regno Unito,8
Real Academia de Bellas Artes de San Fernando,Spagna,7
Mommsen Society,Germania,6
Verband Deutscher Kunsthistoriker,Germania,6
College Art Association,Stati Uniti d'America,6
Accademia austriaca delle scienze,Austria,5
Accademia nazionale di San Luca,Italia,5
Accademia norvegese delle scienze e delle lettere,Norvegia,5
Society of Antiquaries of London,Regno Unito,5
Real Academia Catalana de Bellas Artes de San Jorge,Spagna,5
National Union of Artists of Ukraine,Ucraina,5
Koninklijke Nederlandse Akademie van Wetenschappen,Paesi Bassi,4
Österreichisches Archäologisches Institut,Austria,4
Accademia Nazionale dei Lincei,Italia,4
American Philosophical Society,Stati Uniti d'America,4
Mexican Academy of History,Messico,4
Académie des inscriptions et belles-lettres,Francia,4
Accademia reale fiamminga del Belgio per le scienze e le arti,Belgio,4
Phi Beta Kappa Society,Stati Uniti d'America,4
Digital Humanities im deutschsprachigen Raum,Germania,4
Accademia bulgara delle scienze,Bulgaria,3
Interdisciplinary Centre for Digital Humanities and Social Sciences,Germania,3
Accademia delle scienze di Gottinga,Germania,3
Archaeological Institute of America,Stati Uniti d'America,3
Estonian Artists' Association,Estonia,3
Associació de Museòlegs de Catalunya,Spagna,3
Artist Union of Armenia,Armenia,3
Académie de Nîmes,Francia,3
Akademie der Wissenschaften und der Literatur,Germania,2
Verein der Schriftstellerinnen und Künstlerinnen Wien,Austria,2
Comité des travaux historiques et scientifiques,Francia,2
Q27460045,Francia,2
Accademia serba delle scienze e delle arti,Serbia,2
Accademia delle Scienze di Torino,Italia,2
Artists Union of Russia,Russia,2
Australian Academy of the Humanities,Australia,2
Institut universitaire de France,Francia,2
Comité national de l'estampe,Francia,2
American Society for Eighteenth-Century Studies,Stati Uniti d'America,2
Instituto de Estudios Madrileños,Spagna,2
Union of Belarusan Writers,Bielorussia,2
Belarusian Union of Architects,Bielorussia,2
Accademia polacca delle scienze,Polonia,2
Accademia polacca della cultura,Polonia,2
Hispanic Society of America,Stati Uniti d'America,2
Q66601519,Spagna,2
Royal Academy of Fine Arts of Saint Isabel of Hungary,Spagna,2
Fondazione Giorgio Cini,Italia,2
Accademia Sassone delle Scienze,Germania,2
CODART,Belgio,2
CODART,Paesi Bassi,2
Scuola americana di studi classici di Atene,Stati Uniti d'America,2
Scuola americana di studi classici di Atene,Grecia,2
International Council of Museums,Francia,2
Koldewey-Gesellschaft,Germania,2
Journalist's Union of Ukraine,Ucraina,2
Accademia della Crusca,Italia,1
Royal Irish Academy,Irlanda,1
Q1622283,Germania,1
Q3326486,Francia,1
Accademia di Atene,Grecia,1
Académie des sciences d'outre-mer,Francia,1
National Endowment for the Humanities,Stati Uniti d'America,1
Institute for Advanced Study,Stati Uniti d'America,1
Saxon academy of arts,Germania,1
Regia accademia danese di scienze e lettere,Danimarca,1
Accademia dell'Arcadia,Italia,1
American Academy in Rome,Stati Uniti d'America,1
American Academy in Rome,Italia,1
Pontificia accademia romana di archeologia,Italia,1
British Society for the History of Science,Regno Unito,1
Colegio Nacional,Messico,1
Ligue de la Patrie Française,Francia,1
Figlie della rivoluzione americana,Stati Uniti d'America,1
Royal Danish Society for Fatherland History,Danimarca,1
Accademia Nazionale delle Scienze della Repubblica di Armenia,Armenia,1
Q4430472,Russia,1
Latvijas mākslinieku savienība,Lettonia,1
Royal Society of Canada,Canada,1
Accademia reale del Belgio,Belgio,1
Istituto Nazionale di Studi Etruschi ed Italici,Italia,1
École française d'Extrême-Orient,Francia,1
Gouines rouges,Francia,1
Reial Acadèmia de Bones Lletres de Barcelona,Spagna,1
Croce Rossa britannica,Regno Unito,1
Fotoklub Rzeczypospolitej Polskiej,Polonia,1
History of Science Society,Stati Uniti d'America,1
Society of Architectural Historians,Stati Uniti d'America,1
Reale Accademia delle Belle Arti,Svezia,1
Accademia reale svedese delle scienze,Svezia,1
American Academy of Arts and Letters,Stati Uniti d'America,1
Giardino botanico di New York,Stati Uniti d'America,1
Royal Society of Literature,Regno Unito,1
Garden Club of America,Stati Uniti d'America,1
Royal Gustavus Adolphus Academy,Svezia,1
Swedish Archaeological Society,Svezia,1
Hroswitha Club,Stati Uniti d'America,1
Q78452334,Repubblica Ceca,1
Q78452334,Cecoslovacchia,1
Accademia ungherese delle scienze,Ungheria,1
American Abstract Artists,Stati Uniti d'America,1
Accademia Cesarea Leopoldina,Germania,1
Arbeitskreis Bild Druck Papier,Germania,1
PEN Centre Germany,Germania,1
Associazione norvegese dei diritti delle donne,Norvegia,1
Institución Fernán González,Spagna,1
Kristiania Læseforening for Kvinder,Norvegia,1
Accademia slovena delle scienze e delle arti,Slovenia,1
Society for Classical Studies,Stati Uniti d'America,1
Real Academia de Bellas Artes de la Purísima Concepción,Spagna,1
Stowarzyszenie Pisarzy Polskich,Polonia,1
Q12663282,Lituania,1
Composers Union of Armenia,Armenia,1
Estonian Society of Art Historians and Curators,Estonia,1
International Academy of the History of Science,Francia,1
Plast,Ucraina,1
Sokol,Repubblica Ceca,1
Sokol,Impero austro-ungarico,1
Sokol,Cecoslovacchia,1
Accademia delle Scienze di Berlino,Germania,1
International Council on Monuments and Sites,Francia,1
Warburg Institute,Regno Unito,1
Die Junge Akademie,Germania,1
Accademia Reale Galiziana,Spagna,1
Płock Scientific Society,Polonia,1
Q24229207,Bielorussia,1
Real Academia de Nobles y Bellas Artes de San Luis,Spagna,1
Getty Center,Stati Uniti d'America,1
Università di New York,Stati Uniti d'America,1
Università Ludwig Maximilian di Monaco,Germania,1
Anthology Film Archives,Stati Uniti d'America,1
Kunsthistorisches Institut in Florenz,Italia,1
Malteser Hilfsdienst e.V.,Germania,1
Indian Academy of Sciences,India,1
National Sculpture Society,Stati Uniti d'America,1
Comité national pour la mémoire et l'histoire de l'esclavage,Francia,1
Real Academia de Bellas Artes y Ciencias Históricas de Toledo,Spagna,1
Statens Kunstfonds Udvalg for Kunst i det Offentlige Rum,Danimarca,1
Royal Galician Academy of Fine Arts,Spagna,1
Accademia reale delle scienze d'oltremare,Belgio,1
"Académie des Sciences, Lettres et Arts de Marseille",Francia,1
"Académie des sciences, belles-lettres et arts de Rouen",Francia,1
"Académie des sciences, des lettres et des arts d'Amiens",Francia,1
Real Sociedad Bascongada de Amigos del País,Spagna,1
American Academy of Dermatology,Stati Uniti d'America,1
Q5871554,Spagna,1
Institución Tello Téllez de Meneses,Spagna,1
New York Stem Cell Foundation,Stati Uniti d'America,1
Consejo Valenciano de Cultura,Spagna,1
GRACMON,Spagna,1
Union of Journalists of Armenia,Armenia,1
Académie d'Alsace,Francia,1
Asociación de Mujeres en las Artes Visuales (MAV),Spagna,1
"Istituto Veneto di Scienze, Lettere ed Arti",Italia,1
Fondazione Musei Civici di Venezia,Italia,1
National Society of the Colonial Dames of America,Stati Uniti d'America,1
Real Academia de Bellas Artes de San Telmo,Spagna,1
Związek Polskich Artystów Fotografików,Polonia,1
Fondazione Federico Zeri,Italia,1
Q25973780,Spagna,1
Société d'histoire moderne et contemporaine de Nîmes et du Gard,Francia,1
Asociación Española de Museólogos,Spagna,1
Q26877660,Germania,1
Education and Science Workers' Union,Germania,1
Bundesverband Bildender Künstler,Germania,1
Association of Art Historians,Regno Unito,1
Société Académique de Genève,Svizzera,1
Università Heinrich-Heine di Düsseldorf,Germania,1
American Library Association,Stati Uniti d'America,1
Deutsche Gesellschaft für Philosophie,Germania,1
The Renaissance Society of America,Stati Uniti d'America,1
Southern Jewish Historical Society,Stati Uniti d'America,1
Association for Jewish Studies,Stati Uniti d'America,1
Association of Historians of American Art,Stati Uniti d'America,1
Accademia bavarese delle scienze,Germania,1
African Studies Centre Leiden,Paesi Bassi,1
Q55459833,Germania,1
Akademie der Künste,Germania,1
Union of Architects of the USSR,Unione Sovietica,1
International Center of Medieval Art,Stati Uniti d'America,1
Delaware Valley Medieval Association,Stati Uniti d'America,1
Deutsches Architekturmuseum,Germania,1
Australian Institute of Architects,Australia,1
Fellow of the Royal Institute of British Architects,Regno Unito,1
Latin American Studies Association,Stati Uniti d'America,1
Soi︠u︡z zhurnalistov SSSR,Unione Sovietica,1
Belarusian Union of Journalists,Bielorussia,1
Scarab Club,Stati Uniti d'America,1
Q11919234,Spagna,1
ULUPUH,Croazia,1
Institut d'Estudis Baleàrics,Spagna,1
Historians of Netherlandish Art,Stati Uniti d'America,1
Goujoun'Art,Francia,1
Schwabing Art Trove Task Force,Germania,1
