man,manLabel
http://www.wikidata.org/entity/Q102560,Albert von Zahn
http://www.wikidata.org/entity/Q102730,Eberhard Hanfstaengl
http://www.wikidata.org/entity/Q102869,Felix Becker
http://www.wikidata.org/entity/Q102913,Bernard Andreae
http://www.wikidata.org/entity/Q102948,Johannes Cladders
http://www.wikidata.org/entity/Q102971,Gerhard Zimmer
http://www.wikidata.org/entity/Q103051,Edmund Wilhelm Braun
http://www.wikidata.org/entity/Q103240,Fritz Krischen
http://www.wikidata.org/entity/Q103334,Konrad von Lange
http://www.wikidata.org/entity/Q103338,Stephan Reimertz
http://www.wikidata.org/entity/Q103424,Alfred Lichtwark
http://www.wikidata.org/entity/Q103568,Rudolf Kautzsch
http://www.wikidata.org/entity/Q103586,Albert Erich Brinckmann
http://www.wikidata.org/entity/Q103590,Robert Dohme
http://www.wikidata.org/entity/Q103704,Karl Siegfried Döhring
http://www.wikidata.org/entity/Q103743,Ernst Heinrich Toelken
http://www.wikidata.org/entity/Q103967,Götz Adriani
http://www.wikidata.org/entity/Q104324,Richard Graul
http://www.wikidata.org/entity/Q104327,Otto Rossbach
http://www.wikidata.org/entity/Q104353,Hans Höger
http://www.wikidata.org/entity/Q104359,Roland Guenter
http://www.wikidata.org/entity/Q104613,Janos Frecot
http://www.wikidata.org/entity/Q104728,Joseph Braun
http://www.wikidata.org/entity/Q104952,Otto Grautoff
http://www.wikidata.org/entity/Q104964,Walter Riezler
http://www.wikidata.org/entity/Q105163,Auguste Demmin
http://www.wikidata.org/entity/Q105197,Wolfgang Kemp
http://www.wikidata.org/entity/Q105212,August Ottmar von Essenwein
http://www.wikidata.org/entity/Q105374,Karl-Heinz Barth
http://www.wikidata.org/entity/Q105457,Johannes Andreas Jolles
http://www.wikidata.org/entity/Q105792,Paul Kristeller
http://www.wikidata.org/entity/Q105944,Richard Hamann
http://www.wikidata.org/entity/Q106176,Richard Muther
http://www.wikidata.org/entity/Q106228,Karl Schwarz
http://www.wikidata.org/entity/Q106761,Otto Piper
http://www.wikidata.org/entity/Q106774,Martin Stather
http://www.wikidata.org/entity/Q106898,Q106898
http://www.wikidata.org/entity/Q106908,August Frickenhaus
http://www.wikidata.org/entity/Q106913,Q106913
http://www.wikidata.org/entity/Q106930,Armin Zweite
http://www.wikidata.org/entity/Q107026,Rudolf Naumann
http://www.wikidata.org/entity/Q107116,Georg Satzinger
http://www.wikidata.org/entity/Q107143,Berthold Hinz
http://www.wikidata.org/entity/Q107195,Fritz Löffler
http://www.wikidata.org/entity/Q107516,Ernst Christian Walz
http://www.wikidata.org/entity/Q107672,Christian Schoen
http://www.wikidata.org/entity/Q107876,Manfred Schneckenburger
http://www.wikidata.org/entity/Q107970,Paul Frankl
http://www.wikidata.org/entity/Q108512,Konrad Miller
http://www.wikidata.org/entity/Q108620,Woldemar von Seidlitz
http://www.wikidata.org/entity/Q108628,Wilhelm Fröhner
http://www.wikidata.org/entity/Q108742,Adelbert Matthaei
http://www.wikidata.org/entity/Q108924,Friedrich Rakob
http://www.wikidata.org/entity/Q109132,Gottfried Kiesow
http://www.wikidata.org/entity/Q109174,Ulrich Thieme
http://www.wikidata.org/entity/Q109191,Hans Dietrich Disselhoff
http://www.wikidata.org/entity/Q109288,Carl Georg Heise
http://www.wikidata.org/entity/Q109290,Hubertus von Amelunxen
http://www.wikidata.org/entity/Q109345,Anton Legner
http://www.wikidata.org/entity/Q109621,Johannes Bergemann
http://www.wikidata.org/entity/Q109788,August Schmarsow
http://www.wikidata.org/entity/Q109889,Johannes Georg Deckers
http://www.wikidata.org/entity/Q109988,Dietrich Seckel
http://www.wikidata.org/entity/Q110215,Gustav Pauli
http://www.wikidata.org/entity/Q110429,Wolfram Hoepfner
http://www.wikidata.org/entity/Q110473,Ernst von Niebelschütz
http://www.wikidata.org/entity/Q110488,Helmut Knocke
http://www.wikidata.org/entity/Q110979,Q110979
http://www.wikidata.org/entity/Q111045,Otto Kern
http://www.wikidata.org/entity/Q111293,Max Lehrs
http://www.wikidata.org/entity/Q111407,Richard Bohn
http://www.wikidata.org/entity/Q111408,Stefan Weber
http://www.wikidata.org/entity/Q111643,Horst Bredekamp
http://www.wikidata.org/entity/Q111701,Tobias Dohrn
http://www.wikidata.org/entity/Q112173,Max Dvořák
http://www.wikidata.org/entity/Q112450,Curt Glaser
http://www.wikidata.org/entity/Q113072,Richard Borrmann
http://www.wikidata.org/entity/Q113179,Ernst Cohn-Wiener
http://www.wikidata.org/entity/Q113304,Solomon Birnbaum
http://www.wikidata.org/entity/Q113341,Karl Scheffler
http://www.wikidata.org/entity/Q113809,Josef Strzygowski
http://www.wikidata.org/entity/Q113817,Justus Bier
http://www.wikidata.org/entity/Q114004,Felix Czeike
http://www.wikidata.org/entity/Q114242,Q114242
http://www.wikidata.org/entity/Q114482,Bruno Adler
http://www.wikidata.org/entity/Q114649,Hermann Vetters
http://www.wikidata.org/entity/Q114662,Rudolf Heberdey
http://www.wikidata.org/entity/Q114674,Thomas Macho
http://www.wikidata.org/entity/Q114682,Dietrich Kötzsche
http://www.wikidata.org/entity/Q115015,Otto Wacker
http://www.wikidata.org/entity/Q115150,Francesco di Erbach-Erbach
http://www.wikidata.org/entity/Q115164,Ludwig Heinrich Heydenreich
http://www.wikidata.org/entity/Q115816,Harald Szeemann
http://www.wikidata.org/entity/Q115893,Marcel Raymond
http://www.wikidata.org/entity/Q116495,Daniel Baud-Bovy
http://www.wikidata.org/entity/Q651,Friedrich Theodor Vischer
http://www.wikidata.org/entity/Q8816,Marc Décimo
http://www.wikidata.org/entity/Q11153,John G. Roberts
http://www.wikidata.org/entity/Q12750,Josep Puig i Cadafalch
http://www.wikidata.org/entity/Q14108,Jack Cowart
http://www.wikidata.org/entity/Q15794,Tomaž Šalamun
http://www.wikidata.org/entity/Q26611,Józef Aleksander Jabłonowski
